booking_id,passenger_id,flight_id,airline_id,origin_airport_id,destination_airport_id,booking_date,ticket_cost,flight_duration_mins,checkin_status
936,4,130,1,1,9,2025-05-29,995.32,607,No
937,6,159,8,3,7,2025-04-21,180.29,565,No
938,39,155,5,7,9,2025-05-16,168.53,596,No
939,78,165,3,8,6,2025-04-18,686.76,422,No
940,66,124,3,5,9,2025-02-24,154.84,198,Yes
941,91,166,6,6,1,2025-05-22,364.47,183,Yes
942,12,141,6,4,3,2025-04-08,730.88,615,Yes
943,82,116,2,9,6,2025-04-24,912.03,240,Yes
944,41,195,9,2,1,2025-01-06,836.73,274,No
945,18,159,6,2,8,2025-03-16,846.20,397,Yes
946,41,188,5,6,2,2025-04-21,624.26,375,No
947,15,173,10,6,10,2025-04-29,792.32,60,No
948,61,190,5,7,9,2025-06-08,886.71,192,No
949,79,102,5,4,1,2025-05-12,625.62,540,Yes
950,46,158,4,6,2,2025-03-15,665.59,103,No
951,42,109,5,2,6,2025-01-05,102.95,463,No
952,43,161,9,10,8,2025-04-30,582.92,133,Yes
953,26,117,7,9,3,2025-06-08,631.61,677,No
954,43,149,10,2,5,2025-01-16,639.66,137,No
955,58,179,6,4,10,2025-03-11,534.66,106,No
956,91,117,10,3,6,2025-02-04,130.91,157,Yes
957,75,182,8,7,9,2025-02-11,687.50,300,Yes
958,70,183,2,10,5,2025-03-23,566.61,318,Yes
959,3,192,7,10,7,2025-06-30,847.35,79,Yes
960,47,175,3,2,5,2025-04-24,196.62,119,No
961,60,117,3,9,6,2025-03-24,104.10,278,No
962,80,160,3,1,2,2025-02-04,618.42,110,Yes
963,26,172,10,5,7,2025-06-19,821.51,521,Yes
964,56,187,1,2,7,2025-01-08,232.75,373,No
965,61,170,9,5,3,2025-01-07,710.38,305,No
966,33,168,8,1,6,2025-05-16,663.45,200,No
967,33,113,7,1,8,2025-01-15,509.41,108,Yes
968,53,113,8,10,9,2025-03-07,114.96,74,No
969,91,183,9,3,4,2025-05-11,589.13,691,No
970,98,118,4,1,9,2025-06-07,283.30,116,No
971,77,191,2,9,4,2025-06-26,516.74,317,No
972,47,111,5,10,5,2025-02-19,689.67,689,No
973,77,200,6,7,1,2025-05-26,597.02,521,Yes
974,35,177,8,2,7,2025-04-22,521.64,262,Yes
975,7,106,2,7,3,2025-05-28,350.26,575,No
976,31,178,7,10,4,2025-01-05,481.70,584,No
977,88,149,2,8,2,2025-06-21,742.13,580,No
978,44,175,9,2,10,2025-05-06,591.93,698,Yes
979,86,128,7,6,5,2025-06-11,132.01,631,Yes
980,70,122,8,7,9,2025-01-26,319.13,171,No
981,32,147,10,7,5,2025-03-07,230.84,568,No
982,77,134,1,4,3,2025-04-25,857.47,494,Yes
983,11,176,9,10,3,2025-05-20,837.17,498,No
984,67,172,1,5,8,2025-01-12,910.39,196,No
985,10,159,7,2,6,2025-04-11,277.55,378,No
986,12,193,9,5,9,2025-05-03,907.46,394,No
987,41,151,6,5,4,2025-05-18,798.60,247,Yes
988,88,106,6,7,4,2025-04-02,300.64,219,No
989,93,122,7,7,1,2025-01-25,541.03,79,No
990,27,200,6,9,8,2025-02-14,246.29,199,Yes
991,3,105,10,3,2,2025-01-08,593.44,637,No
992,6,114,2,3,9,2025-03-10,504.64,156,Yes
993,77,105,10,9,6,2025-03-18,968.41,144,No
994,37,155,4,8,3,2025-03-04,818.64,481,Yes
995,11,197,5,9,2,2025-06-01,276.88,402,Yes
996,96,143,1,8,5,2025-05-29,288.30,90,Yes
997,14,160,9,3,8,2025-04-10,543.73,118,Yes
998,41,187,2,4,8,2025-01-04,160.22,429,Yes
999,16,172,5,2,6,2025-06-21,788.52,685,No
1000,16,168,4,2,7,2025-06-06,340.42,331,Yes
